record_id,model_name,api_model_requested,api_model_returned,provider,endpoint_base,batch,region,reasoning,model_year,temperature_requested,temperature_effective,temp_range_used,seed,request_timestamp_utc,response_timestamp_utc,latency_ms,api_request_id,response_id,system_fingerprint,finish_reason,prompt_tokens,completion_tokens,total_tokens,prompt_sha256,raw_response_text,parse_status,n_nouns_parsed,noun_0,noun_1,noun_2,noun_3,noun_4,noun_5,noun_6,noun_7,noun_8,noun_9,dat_score,collector_version
,Hunyuan Hy3,hy3,hy3,hunyuan,https://tokenhub.tencentmaas.com/v1,collect_2026_midpoint,Eastern,No,2026,1.0,1.0,0-2,,2026-07-14T15:41:49.918Z,2026-07-14T15:41:51.800Z,1882,,00743e55-af09-4779-a897-d26a27a35e45,,stop,153,20,173,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"apple, mountain, freedom, clock, dog, book, ocean, anger, shoe, star",ok,10,apple,mountain,freedom,clock,dog,book,ocean,anger,shoe,star,,git:a749760
,Hunyuan Hy3,hy3,hy3,hunyuan,https://tokenhub.tencentmaas.com/v1,collect_2026_midpoint,Eastern,No,2026,1.0,1.0,0-2,,2026-07-14T16:40:01.278Z,2026-07-14T16:40:03.414Z,2136,,98562956-6d45-46dd-8a13-6a3fe751988e,,stop,153,20,173,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"apple, mountain, freedom, clock, dog, book, ocean, idea, chair, sorrow",ok,10,apple,mountain,freedom,clock,dog,book,ocean,idea,chair,sorrow,,git:c075afd
,Hunyuan Hy3,hy3,hy3,hunyuan,https://tokenhub.tencentmaas.com/v1,collect_2026_midpoint,Eastern,No,2026,1.0,1.0,0-2,,2026-07-14T16:40:01.535Z,2026-07-14T16:40:03.561Z,2026,,67810019-9475-4310-a409-5463913255bc,,stop,153,20,173,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"cloud, spoon, freedom, cat, mountain, idea, book, sugar, clock, sadness",ok,10,cloud,spoon,freedom,cat,mountain,idea,book,sugar,clock,sadness,,git:c075afd
,Hunyuan Hy3,hy3,hy3,hunyuan,https://tokenhub.tencentmaas.com/v1,collect_2026_midpoint,Eastern,No,2026,1.0,1.0,0-2,,2026-07-14T16:40:02.665Z,2026-07-14T16:40:04.641Z,1976,,ad456832-6369-4533-9bc9-cf996e1f38c9,,stop,153,20,173,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"apple, mountain, freedom, spoon, dream, cloud, book, sadness, chair, ocean",ok,10,apple,mountain,freedom,spoon,dream,cloud,book,sadness,chair,ocean,,git:c075afd
,Hunyuan Hy3,hy3,hy3,hunyuan,https://tokenhub.tencentmaas.com/v1,collect_2026_midpoint,Eastern,No,2026,1.0,1.0,0-2,,2026-07-14T16:40:03.665Z,2026-07-14T16:40:05.499Z,1833,,db953d64-419e-4ed0-9eed-eb5ac9561750,,stop,153,20,173,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"apple, mountain, freedom, spoon, cloud, idea, cat, book, sadness, hammer",ok,10,apple,mountain,freedom,spoon,cloud,idea,cat,book,sadness,hammer,,git:c075afd
,Hunyuan Hy3,hy3,hy3,hunyuan,https://tokenhub.tencentmaas.com/v1,collect_2026_midpoint,Eastern,No,2026,1.0,1.0,0-2,,2026-07-14T16:40:03.812Z,2026-07-14T16:40:05.701Z,1889,,d1f97944-8321-49c4-8fef-f98db43c27c3,,stop,153,20,173,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"banana, mountain, freedom, clock, idea, dog, river, book, sadness, spoon",ok,10,banana,mountain,freedom,clock,idea,dog,river,book,sadness,spoon,,git:c075afd
,Hunyuan Hy3,hy3,hy3,hunyuan,https://tokenhub.tencentmaas.com/v1,collect_2026_midpoint,Eastern,No,2026,1.0,1.0,0-2,,2026-07-14T16:40:04.892Z,2026-07-14T16:40:06.753Z,1861,,298bd6ca-4ca9-434a-8b76-a90e44a0d985,,stop,153,20,173,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"apple, mountain, freedom, clock, ocean, book, sadness, chair, star, idea",ok,10,apple,mountain,freedom,clock,ocean,book,sadness,chair,star,idea,,git:c075afd
,Hunyuan Hy3,hy3,hy3,hunyuan,https://tokenhub.tencentmaas.com/v1,collect_2026_midpoint,Eastern,No,2026,1.0,1.0,0-2,,2026-07-14T16:40:05.749Z,2026-07-14T16:40:07.663Z,1913,,14136aa7-e5ee-48ba-a4d7-c584da129fe7,,stop,153,20,173,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"apple, mountain, love, chair, clock, ocean, idea, book, star, silence",ok,10,apple,mountain,love,chair,clock,ocean,idea,book,star,silence,,git:c075afd
,Hunyuan Hy3,hy3,hy3,hunyuan,https://tokenhub.tencentmaas.com/v1,collect_2026_midpoint,Eastern,No,2026,1.0,1.0,0-2,,2026-07-14T16:40:05.951Z,2026-07-14T16:40:07.853Z,1901,,5e172caa-09f2-4a2e-b803-ef7b65b190af,,stop,153,20,173,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"apple, mountain, idea, spoon, cloud, cat, book, happiness, chair, river",ok,10,apple,mountain,idea,spoon,cloud,cat,book,happiness,chair,river,,git:c075afd
,Hunyuan Hy3,hy3,hy3,hunyuan,https://tokenhub.tencentmaas.com/v1,collect_2026_midpoint,Eastern,No,2026,1.0,1.0,0-2,,2026-07-14T16:40:06.615Z,2026-07-14T16:40:08.367Z,1751,,e8f81295-3ec8-4c24-93a8-9f2716f73a8d,,stop,153,20,173,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"apple, mountain, freedom, clock, dog, book, ocean, idea, chair, sadness",ok,10,apple,mountain,freedom,clock,dog,book,ocean,idea,chair,sadness,,git:c075afd
