record_id,model_name,api_model_requested,api_model_returned,provider,endpoint_base,batch,region,reasoning,model_year,temperature_requested,temperature_effective,temp_range_used,seed,request_timestamp_utc,response_timestamp_utc,latency_ms,api_request_id,response_id,system_fingerprint,finish_reason,prompt_tokens,completion_tokens,total_tokens,prompt_sha256,raw_response_text,parse_status,n_nouns_parsed,noun_0,noun_1,noun_2,noun_3,noun_4,noun_5,noun_6,noun_7,noun_8,noun_9,dat_score,collector_version
,Qwen3.5-Plus,qwen3.5-plus,qwen3.5-plus,qwen,https://dashscope.aliyuncs.com/compatible-mode/v1,collect_2026_n500_catchup,Eastern,No,2026,1.0,1.0,0-2,1000,2026-07-16T06:06:00.577Z,2026-07-16T06:07:02.724Z,62147,19635a5f-2da7-9b91-a238-eb7854f8dd99,chatcmpl-19635a5f-2da7-9b91-a238-eb7854f8dd99,,stop,156,3825,3981,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"stone, water, fire, book, bread, love, car, tree, sky, time",ok,10,stone,water,fire,book,bread,love,car,tree,sky,time,,git:7455dea
,Qwen3.5-Plus,qwen3.5-plus,qwen3.5-plus,qwen,https://dashscope.aliyuncs.com/compatible-mode/v1,collect_2026_n500_catchup,Eastern,No,2026,1.0,1.0,0-2,1001,2026-07-16T06:07:02.825Z,2026-07-16T06:07:51.272Z,48447,e87e5c6b-6f6b-92ed-8f4b-e226915bda3c,chatcmpl-e87e5c6b-6f6b-92ed-8f4b-e226915bda3c,,stop,156,2684,2840,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"rock, time, dog, cup, fire, love, shirt, sky, bread, road",ok,10,rock,time,dog,cup,fire,love,shirt,sky,bread,road,,git:7455dea
,Qwen3.5-Plus,qwen3.5-plus,qwen3.5-plus,qwen,https://dashscope.aliyuncs.com/compatible-mode/v1,collect_2026_n500_catchup,Eastern,No,2026,1.0,1.0,0-2,1002,2026-07-16T06:07:51.373Z,2026-07-16T06:08:47.031Z,55658,6bd3a804-d611-94dd-9e30-26ca6f87760b,chatcmpl-6bd3a804-d611-94dd-9e30-26ca6f87760b,,stop,156,3056,3212,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"stone, emotion, water, table, year, cheese, animal, light, book, dream",ok,10,stone,emotion,water,table,year,cheese,animal,light,book,dream,,git:7455dea
,Qwen3.5-Plus,qwen3.5-plus,qwen3.5-plus,qwen,https://dashscope.aliyuncs.com/compatible-mode/v1,collect_2026_n500_catchup,Eastern,No,2026,1.0,1.0,0-2,1003,2026-07-16T06:08:47.132Z,2026-07-16T06:09:46.858Z,59726,3840e02a-1008-9576-bea6-3e34235bcf16,chatcmpl-3840e02a-1008-9576-bea6-3e34235bcf16,,stop,156,4330,4486,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"sky, sand, justice, spoon, ice, memory, tree, dog, clock, silence",ok,10,sky,sand,justice,spoon,ice,memory,tree,dog,clock,silence,,git:7455dea
,Qwen3.5-Plus,qwen3.5-plus,qwen3.5-plus,qwen,https://dashscope.aliyuncs.com/compatible-mode/v1,collect_2026_n500_catchup,Eastern,No,2026,1.0,1.0,0-2,1004,2026-07-16T06:09:46.959Z,2026-07-16T06:10:17.633Z,30673,07c1ec6a-1893-9800-af0d-9bf550f4d6a8,chatcmpl-07c1ec6a-1893-9800-af0d-9bf550f4d6a8,,stop,156,1940,2096,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"water, mountain, clock, love, bread, fire, shoe, money, cloud, bridge",ok,10,water,mountain,clock,love,bread,fire,shoe,money,cloud,bridge,,git:7455dea
,Qwen3.5-Plus,qwen3.5-plus,qwen3.5-plus,qwen,https://dashscope.aliyuncs.com/compatible-mode/v1,collect_2026_n500_catchup,Eastern,No,2026,1.0,1.0,0-2,1000,2026-07-16T06:11:03.937Z,2026-07-16T06:11:58.380Z,54443,734bc535-d0da-9d60-8aaf-29609fb8d118,chatcmpl-734bc535-d0da-9d60-8aaf-29609fb8d118,,stop,156,3297,3453,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"rock, water, dog, house, bread, fire, time, love, dream, shoe",ok,10,rock,water,dog,house,bread,fire,time,love,dream,shoe,,git:a4d9fa8
,Qwen3.5-Plus,qwen3.5-plus,qwen3.5-plus,qwen,https://dashscope.aliyuncs.com/compatible-mode/v1,collect_2026_n500_catchup,Eastern,No,2026,1.0,1.0,0-2,1001,2026-07-16T06:11:58.481Z,2026-07-16T06:13:16.292Z,77811,7133a3f8-9f44-97b2-a135-276d0b78b3a3,chatcmpl-7133a3f8-9f44-97b2-a135-276d0b78b3a3,,stop,156,5079,5235,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"rock, water, tree, house, book, shoe, bread, love, time, fire",ok,10,rock,water,tree,house,book,shoe,bread,love,time,fire,,git:a4d9fa8
,Qwen3.5-Plus,qwen3.5-plus,qwen3.5-plus,qwen,https://dashscope.aliyuncs.com/compatible-mode/v1,collect_2026_n500_catchup,Eastern,No,2026,1.0,1.0,0-2,1002,2026-07-16T06:13:16.393Z,2026-07-16T06:14:41.088Z,84695,cfce8fad-b9c8-9140-b867-84deb2c255f6,chatcmpl-cfce8fad-b9c8-9140-b867-84deb2c255f6,,stop,156,5149,5305,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"rock, water, tree, house, love, time, language, fire, bread, dream",ok,10,rock,water,tree,house,love,time,language,fire,bread,dream,,git:a4d9fa8
,Qwen3.5-Plus,qwen3.5-plus,qwen3.5-plus,qwen,https://dashscope.aliyuncs.com/compatible-mode/v1,collect_2026_n500_catchup,Eastern,No,2026,1.0,1.0,0-2,1003,2026-07-16T06:14:41.189Z,2026-07-16T06:15:03.676Z,22487,ef82f3f4-51cc-9eba-9f28-8bebaa4450c4,chatcmpl-ef82f3f4-51cc-9eba-9f28-8bebaa4450c4,,stop,156,1252,1408,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"sand, justice, piano, cloud, knife, memory, glass, road, flower, shadow",ok,10,sand,justice,piano,cloud,knife,memory,glass,road,flower,shadow,,git:a4d9fa8
,Qwen3.5-Plus,qwen3.5-plus,qwen3.5-plus,qwen,https://dashscope.aliyuncs.com/compatible-mode/v1,collect_2026_n500_catchup,Eastern,No,2026,1.0,1.0,0-2,1000,2026-07-16T06:17:37.062Z,2026-07-16T06:19:15.953Z,98890,41f820a8-0348-9473-ba11-f1fedf92d3bf,chatcmpl-41f820a8-0348-9473-ba11-f1fedf92d3bf,,stop,156,5760,5916,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"rock, love, car, water, book, fire, shoe, time, house, bread",ok,10,rock,love,car,water,book,fire,shoe,time,house,bread,,git:79aaa34
,Qwen3.5-Plus,qwen3.5-plus,qwen3.5-plus,qwen,https://dashscope.aliyuncs.com/compatible-mode/v1,collect_2026_n500_catchup,Eastern,No,2026,1.0,1.0,0-2,1001,2026-07-16T06:19:16.053Z,2026-07-16T06:20:09.360Z,53306,eea33135-efa4-9727-8bf3-99bf74c6316c,chatcmpl-eea33135-efa4-9727-8bf3-99bf74c6316c,,stop,156,2934,3090,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"Stone, Water, Fire, Chair, Book, Time, Love, Sky, Shoe, Dream",ok,10,stone,water,fire,chair,book,time,love,sky,shoe,dream,,git:79aaa34
,Qwen3.5-Plus,qwen3.5-plus,qwen3.5-plus,qwen,https://dashscope.aliyuncs.com/compatible-mode/v1,collect_2026_n500_catchup,Eastern,No,2026,1.0,1.0,0-2,1002,2026-07-16T06:20:09.460Z,2026-07-16T06:21:00.906Z,51445,5942ad2f-1750-941d-b04f-d005158bce85,chatcmpl-5942ad2f-1750-941d-b04f-d005158bce85,,stop,156,2733,2889,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"Water, Car, Dog, Chair, Time, Bread, Star, Hand, Book, Freedom",ok,10,water,car,dog,chair,time,bread,star,hand,book,freedom,,git:79aaa34
,Qwen3.5-Plus,qwen3.5-plus,qwen3.5-plus,qwen,https://dashscope.aliyuncs.com/compatible-mode/v1,collect_2026_n500_catchup,Eastern,No,2026,1.0,1.0,0-2,1003,2026-07-16T06:21:01.006Z,2026-07-16T06:21:44.898Z,43891,8e65031d-efcb-9914-a9cd-36330dc1f2fa,chatcmpl-8e65031d-efcb-9914-a9cd-36330dc1f2fa,,stop,156,2740,2896,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"stone, water, fire, love, hammer, bread, moon, bridge, music, dream",ok,10,stone,water,fire,love,hammer,bread,moon,bridge,music,dream,,git:79aaa34
,Qwen3.5-Plus,qwen3.5-plus,qwen3.5-plus,qwen,https://dashscope.aliyuncs.com/compatible-mode/v1,collect_2026_n500_catchup,Eastern,No,2026,1.0,1.0,0-2,1000,2026-07-16T06:22:31.744Z,2026-07-16T06:23:48.579Z,76835,37943ee6-3221-95b8-b8cc-a4b6258ce105,chatcmpl-37943ee6-3221-95b8-b8cc-a4b6258ce105,,stop,156,4284,4440,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"water, dog, tree, book, love, time, fire, house, car, sky",ok,10,water,dog,tree,book,love,time,fire,house,car,sky,,git:5a56103
