record_id,model_name,api_model_requested,api_model_returned,provider,endpoint_base,batch,region,reasoning,model_year,temperature_requested,temperature_effective,temp_range_used,seed,request_timestamp_utc,response_timestamp_utc,latency_ms,api_request_id,response_id,system_fingerprint,finish_reason,prompt_tokens,completion_tokens,total_tokens,prompt_sha256,raw_response_text,parse_status,n_nouns_parsed,noun_0,noun_1,noun_2,noun_3,noun_4,noun_5,noun_6,noun_7,noun_8,noun_9,dat_score,collector_version
,Moonshot-v1-8k,moonshot-v1-8k,moonshot-v1-8k,moonshot,https://api.moonshot.ai/v1,collect_2026_n50_run2,Eastern,No,2024,0.5,0.5,0-1,,2026-07-15T03:58:53.019Z,2026-07-15T03:58:54.159Z,1140,,chatcmpl-6a57057de3dfb6e37e9598b0,,stop,146,21,167,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"rainbow, mountain, love, sandwich, silence, river, laughter, mystery, dance, time",ok,10,rainbow,mountain,love,sandwich,silence,river,laughter,mystery,dance,time,,git:3b69735
,Moonshot-v1-8k,moonshot-v1-8k,moonshot-v1-8k,moonshot,https://api.moonshot.ai/v1,collect_2026_n50_run2,Eastern,No,2024,0.5,0.5,0-1,,2026-07-15T03:58:54.159Z,2026-07-15T03:58:55.010Z,850,,chatcmpl-6a57057e362d719c68dbb7a9,,stop,146,20,166,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"sun, river, love, chair, computer, apple, happiness, mountain, friendship, car",ok,10,sun,river,love,chair,computer,apple,happiness,mountain,friendship,car,,git:3b69735
,Moonshot-v1-8k,moonshot-v1-8k,moonshot-v1-8k,moonshot,https://api.moonshot.ai/v1,collect_2026_n50_run2,Eastern,No,2024,0.5,0.5,0-1,,2026-07-15T03:58:55.010Z,2026-07-15T03:58:55.934Z,924,,chatcmpl-6a57057fe3dfb6e37e9598c1,,stop,146,20,166,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"sun, river, chair, happiness, apple, cloud, car, laughter, book, dance",ok,10,sun,river,chair,happiness,apple,cloud,car,laughter,book,dance,,git:3b69735
,Moonshot-v1-8k,moonshot-v1-8k,moonshot-v1-8k,moonshot,https://api.moonshot.ai/v1,collect_2026_n50_run2,Eastern,No,2024,0.5,0.5,0-1,,2026-07-15T03:58:55.935Z,2026-07-15T03:58:56.773Z,838,,chatcmpl-6a570580c1e711f9837e2b79,,stop,146,20,166,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"sun, river, book, chair, love, computer, tree, bicycle, laughter, rainbow",ok,10,sun,river,book,chair,love,computer,tree,bicycle,laughter,rainbow,,git:3b69735
,Moonshot-v1-8k,moonshot-v1-8k,moonshot-v1-8k,moonshot,https://api.moonshot.ai/v1,collect_2026_n50_run2,Eastern,No,2024,0.5,0.5,0-1,,2026-07-15T03:58:56.774Z,2026-07-15T03:58:57.724Z,950,,chatcmpl-6a570581362d719c68dbb7bf,,stop,146,21,167,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"mountain, rainbow, book, smile, ocean, bicycle, tree, cloud, friendship, clock",ok,10,mountain,rainbow,book,smile,ocean,bicycle,tree,cloud,friendship,clock,,git:3b69735
,Moonshot-v1-8k,moonshot-v1-8k,moonshot-v1-8k,moonshot,https://api.moonshot.ai/v1,collect_2026_n50_run2,Eastern,No,2024,0.5,0.5,0-1,,2026-07-15T03:58:57.724Z,2026-07-15T03:58:58.758Z,1034,,chatcmpl-6a570581362d719c68dbb7c7,,stop,146,20,166,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"apple, ocean, laughter, clock, butterfly, mountain, friendship, rainbow, bicycle, peace",ok,10,apple,ocean,laughter,clock,butterfly,mountain,friendship,rainbow,bicycle,peace,,git:3b69735
,Moonshot-v1-8k,moonshot-v1-8k,moonshot-v1-8k,moonshot,https://api.moonshot.ai/v1,collect_2026_n50_run2,Eastern,No,2024,0.5,0.5,0-1,,2026-07-15T03:58:58.759Z,2026-07-15T03:58:59.679Z,920,,chatcmpl-6a570582c1e711f9837e2b90,,stop,146,21,167,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"mountain, friendship, spoon, happiness, river, cloud, computer, laughter, tree, ocean",ok,10,mountain,friendship,spoon,happiness,river,cloud,computer,laughter,tree,ocean,,git:3b69735
,Moonshot-v1-8k,moonshot-v1-8k,moonshot-v1-8k,moonshot,https://api.moonshot.ai/v1,collect_2026_n50_run2,Eastern,No,2024,0.5,0.5,0-1,,2026-07-15T03:58:59.679Z,2026-07-15T03:59:00.594Z,914,,chatcmpl-6a570583e3dfb6e37e9598ec,,stop,146,20,166,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"book, river, bird, mountain, love, car, smile, sun, tree, friendship",ok,10,book,river,bird,mountain,love,car,smile,sun,tree,friendship,,git:3b69735
,Moonshot-v1-8k,moonshot-v1-8k,moonshot-v1-8k,moonshot,https://api.moonshot.ai/v1,collect_2026_n50_run2,Eastern,No,2024,0.5,0.5,0-1,,2026-07-15T03:59:00.594Z,2026-07-15T03:59:01.785Z,1190,,chatcmpl-6a570585362d719c68dbb7e2,,stop,146,20,166,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"sun, ocean, book, apple, love, mountain, laughter, cloud, car, dream",ok,10,sun,ocean,book,apple,love,mountain,laughter,cloud,car,dream,,git:3b69735
,Moonshot-v1-8k,moonshot-v1-8k,moonshot-v1-8k,moonshot,https://api.moonshot.ai/v1,collect_2026_n50_run2,Eastern,No,2024,0.5,0.5,0-1,,2026-07-15T03:59:01.785Z,2026-07-15T03:59:02.833Z,1047,,chatcmpl-6a570586e3dfb6e37e9598ff,,stop,146,20,166,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"sun, river, love, book, tree, cake, music, car, laughter, dream",ok,10,sun,river,love,book,tree,cake,music,car,laughter,dream,,git:3b69735
,Moonshot-v1-8k,moonshot-v1-8k,moonshot-v1-8k,moonshot,https://api.moonshot.ai/v1,collect_2026_n50_run2,Eastern,No,2024,0.5,0.5,0-1,,2026-07-15T03:59:02.833Z,2026-07-15T03:59:03.887Z,1053,,chatcmpl-6a570587e3dfb6e37e959905,,stop,146,20,166,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"sun, river, book, laughter, tree, freedom, love, bicycle, silence, rainbow",ok,10,sun,river,book,laughter,tree,freedom,love,bicycle,silence,rainbow,,git:3b69735
,Moonshot-v1-8k,moonshot-v1-8k,moonshot-v1-8k,moonshot,https://api.moonshot.ai/v1,collect_2026_n50_run2,Eastern,No,2024,0.5,0.5,0-1,,2026-07-15T03:59:03.887Z,2026-07-15T03:59:04.835Z,948,,chatcmpl-6a570588362d719c68dbb7f7,,stop,146,20,166,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"apple, ocean, car, love, mountain, friendship, book, cloud, laughter, rainbow",ok,10,apple,ocean,car,love,mountain,friendship,book,cloud,laughter,rainbow,,git:3b69735
,Moonshot-v1-8k,moonshot-v1-8k,moonshot-v1-8k,moonshot,https://api.moonshot.ai/v1,collect_2026_n50_run2,Eastern,No,2024,0.5,0.5,0-1,,2026-07-15T03:59:04.836Z,2026-07-15T03:59:05.699Z,863,,chatcmpl-6a570589c1e711f9837e2bab,,stop,146,21,167,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"ocean, mountain, love, chair, apple, friendship, clock, rainbow, laughter, shadow",ok,10,ocean,mountain,love,chair,apple,friendship,clock,rainbow,laughter,shadow,,git:3b69735
,Moonshot-v1-8k,moonshot-v1-8k,moonshot-v1-8k,moonshot,https://api.moonshot.ai/v1,collect_2026_n50_run2,Eastern,No,2024,0.5,0.5,0-1,,2026-07-15T03:59:05.700Z,2026-07-15T03:59:06.764Z,1064,,chatcmpl-6a57058a362d719c68dbb80b,,stop,146,20,166,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"sun, river, love, mountain, book, laughter, tree, silence, journey, clock",ok,10,sun,river,love,mountain,book,laughter,tree,silence,journey,clock,,git:3b69735
,Moonshot-v1-8k,moonshot-v1-8k,moonshot-v1-8k,moonshot,https://api.moonshot.ai/v1,collect_2026_n50_run2,Eastern,No,2024,0.5,0.5,0-1,,2026-07-15T03:59:06.764Z,2026-07-15T03:59:07.930Z,1166,,chatcmpl-6a57058b362d719c68dbb818,,stop,146,20,166,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"apple, ocean, laughter, mountain, friendship, painting, bicycle, cloud, silence, desert",ok,10,apple,ocean,laughter,mountain,friendship,painting,bicycle,cloud,silence,desert,,git:3b69735
,Moonshot-v1-8k,moonshot-v1-8k,moonshot-v1-8k,moonshot,https://api.moonshot.ai/v1,collect_2026_n50_run2,Eastern,No,2024,0.5,0.5,0-1,,2026-07-15T03:59:07.930Z,2026-07-15T03:59:08.976Z,1046,,chatcmpl-6a57058c362d719c68dbb827,,stop,146,20,166,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"sun, ocean, book, mountain, love, cloud, tree, rainbow, laughter, silence",ok,10,sun,ocean,book,mountain,love,cloud,tree,rainbow,laughter,silence,,git:3b69735
,Moonshot-v1-8k,moonshot-v1-8k,moonshot-v1-8k,moonshot,https://api.moonshot.ai/v1,collect_2026_n50_run2,Eastern,No,2024,0.5,0.5,0-1,,2026-07-15T03:59:08.977Z,2026-07-15T03:59:09.923Z,946,,chatcmpl-6a57058de3dfb6e37e959935,,stop,146,20,166,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"apple, ocean, laughter, rainbow, bicycle, cloud, friendship, mountain, silence, dream",ok,10,apple,ocean,laughter,rainbow,bicycle,cloud,friendship,mountain,silence,dream,,git:3b69735
,Moonshot-v1-8k,moonshot-v1-8k,moonshot-v1-8k,moonshot,https://api.moonshot.ai/v1,collect_2026_n50_run2,Eastern,No,2024,0.5,0.5,0-1,,2026-07-15T03:59:09.923Z,2026-07-15T03:59:10.971Z,1048,,chatcmpl-6a57058ee3dfb6e37e95993e,,stop,146,20,166,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"tree, ocean, love, clock, rainbow, cake, laughter, sun, mountain, friendship",ok,10,tree,ocean,love,clock,rainbow,cake,laughter,sun,mountain,friendship,,git:3b69735
,Moonshot-v1-8k,moonshot-v1-8k,moonshot-v1-8k,moonshot,https://api.moonshot.ai/v1,collect_2026_n50_run2,Eastern,No,2024,0.5,0.5,0-1,,2026-07-15T03:59:10.972Z,2026-07-15T03:59:12.042Z,1070,,chatcmpl-6a57058fe3dfb6e37e959948,,stop,146,20,166,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"apple, ocean, cloud, bicycle, smile, mountain, friendship, mystery, clock, rainbow",ok,10,apple,ocean,cloud,bicycle,smile,mountain,friendship,mystery,clock,rainbow,,git:3b69735
,Moonshot-v1-8k,moonshot-v1-8k,moonshot-v1-8k,moonshot,https://api.moonshot.ai/v1,collect_2026_n50_run2,Eastern,No,2024,0.5,0.5,0-1,,2026-07-15T03:59:12.043Z,2026-07-15T03:59:12.992Z,949,,chatcmpl-6a570590c1e711f9837e2bed,,stop,146,21,167,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"mountain, river, love, book, car, tree, laughter, rainbow, friendship, clock",ok,10,mountain,river,love,book,car,tree,laughter,rainbow,friendship,clock,,git:3b69735
,Moonshot-v1-8k,moonshot-v1-8k,moonshot-v1-8k,moonshot,https://api.moonshot.ai/v1,collect_2026_n50_run2,Eastern,No,2024,0.5,0.5,0-1,,2026-07-15T03:59:12.993Z,2026-07-15T03:59:13.939Z,946,,chatcmpl-6a570591e3dfb6e37e959955,,stop,146,20,166,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"sun, river, book, laughter, dance, mountain, bicycle, love, cloud, apple",ok,10,sun,river,book,laughter,dance,mountain,bicycle,love,cloud,apple,,git:3b69735
,Moonshot-v1-8k,moonshot-v1-8k,moonshot-v1-8k,moonshot,https://api.moonshot.ai/v1,collect_2026_n50_run2,Eastern,No,2024,0.5,0.5,0-1,,2026-07-15T03:59:13.940Z,2026-07-15T03:59:15.021Z,1081,,chatcmpl-6a570592e3dfb6e37e959969,,stop,146,21,167,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"mountain, friendship, bicycle, rainbow, ocean, laughter, computer, tree, clock, sandwich",ok,10,mountain,friendship,bicycle,rainbow,ocean,laughter,computer,tree,clock,sandwich,,git:3b69735
,Moonshot-v1-8k,moonshot-v1-8k,moonshot-v1-8k,moonshot,https://api.moonshot.ai/v1,collect_2026_n50_run2,Eastern,No,2024,0.5,0.5,0-1,,2026-07-15T03:59:15.021Z,2026-07-15T03:59:16.334Z,1312,,chatcmpl-6a570593e3dfb6e37e95997d,,stop,146,20,166,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"computer, river, love, tree, book, music, car, cloud, laughter, spoon",ok,10,computer,river,love,tree,book,music,car,cloud,laughter,spoon,,git:3b69735
,Moonshot-v1-8k,moonshot-v1-8k,moonshot-v1-8k,moonshot,https://api.moonshot.ai/v1,collect_2026_n50_run2,Eastern,No,2024,0.5,0.5,0-1,,2026-07-15T03:59:16.334Z,2026-07-15T03:59:17.430Z,1095,,chatcmpl-6a570594362d719c68dbb879,,stop,146,20,166,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"apple, ocean, laughter, cloud, bicycle, freedom, fire, dance, silence, rainbow",ok,10,apple,ocean,laughter,cloud,bicycle,freedom,fire,dance,silence,rainbow,,git:3b69735
