record_id,model_name,api_model_requested,api_model_returned,provider,endpoint_base,batch,region,reasoning,model_year,temperature_requested,temperature_effective,temp_range_used,seed,request_timestamp_utc,response_timestamp_utc,latency_ms,api_request_id,response_id,system_fingerprint,finish_reason,prompt_tokens,completion_tokens,total_tokens,prompt_sha256,raw_response_text,parse_status,n_nouns_parsed,noun_0,noun_1,noun_2,noun_3,noun_4,noun_5,noun_6,noun_7,noun_8,noun_9,dat_score,collector_version
,DeepSeek-V4-Flash,deepseek-v4-flash,deepseek-v4-flash,deepseek,https://api.deepseek.com/v1,collect_2026_n50_run2,Eastern,No,2026,1.0,1.0,0-2,1000,2026-07-15T03:58:52.013Z,2026-07-15T03:58:55.415Z,3401,,7332083d-f8af-4d58-a15b-4de588091097,fp_8b330d02d0_prod0820_fp8_kvcache_20260402,stop,144,287,431,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"cloud, memory, rock, soup, candle, wind, dream, chair, garden, song",ok,10,cloud,memory,rock,soup,candle,wind,dream,chair,garden,song,,git:3b69735
,DeepSeek-V4-Flash,deepseek-v4-flash,deepseek-v4-flash,deepseek,https://api.deepseek.com/v1,collect_2026_n50_run2,Eastern,No,2026,1.0,1.0,0-2,1001,2026-07-15T03:58:55.415Z,2026-07-15T03:58:59.037Z,3622,,303b970d-7325-40d0-8c81-d759c1ca77f3,fp_8b330d02d0_prod0820_fp8_kvcache_20260402,stop,144,309,453,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"mountain, dog, tree, love, rain, chair, bread, red, hour, idea",ok,10,mountain,dog,tree,love,rain,chair,bread,red,hour,idea,,git:3b69735
,DeepSeek-V4-Flash,deepseek-v4-flash,deepseek-v4-flash,deepseek,https://api.deepseek.com/v1,collect_2026_n50_run2,Eastern,No,2026,1.0,1.0,0-2,1002,2026-07-15T03:58:59.038Z,2026-07-15T03:59:01.200Z,2161,,40e1a402-822b-457c-8d18-1b99ed30fe33,fp_8b330d02d0_prod0820_fp8_kvcache_20260402,stop,144,152,296,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"cloud, table, happiness, sound, metal, tree, number, dust, dream, flame",ok,10,cloud,table,happiness,sound,metal,tree,number,dust,dream,flame,,git:3b69735
,DeepSeek-V4-Pro,deepseek-v4-pro,deepseek-v4-pro,deepseek,https://api.deepseek.com/v1,collect_2026_n50_run2,Eastern,Yes,2026,1.0,1.0,0-2,1000,2026-07-15T03:58:52.514Z,2026-07-15T03:59:03.669Z,11155,,20d8373d-404f-4d42-9269-c3535d90ba01,fp_9954b31ca7_prod0820_fp8_kvcache_20260402,stop,144,633,777,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"time, apple, silence, mountain, key, dream, fire, book, happiness, sand",ok,10,time,apple,silence,mountain,key,dream,fire,book,happiness,sand,,git:3b69735
,DeepSeek-V4-Flash,deepseek-v4-flash,deepseek-v4-flash,deepseek,https://api.deepseek.com/v1,collect_2026_n50_run2,Eastern,No,2026,1.0,1.0,0-2,1003,2026-07-15T03:59:01.200Z,2026-07-15T03:59:04.390Z,3189,,f7979a58-9063-4075-a66d-c0521fa3731c,fp_8b330d02d0_prod0820_fp8_kvcache_20260402,stop,144,265,409,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"mountain, whisper, bicycle, sorrow, galaxy, diamond, cloud, laughter, tomato, clock",ok,10,mountain,whisper,bicycle,sorrow,galaxy,diamond,cloud,laughter,tomato,clock,,git:3b69735
,DeepSeek-V4-Flash,deepseek-v4-flash,deepseek-v4-flash,deepseek,https://api.deepseek.com/v1,collect_2026_n50_run2,Eastern,No,2026,1.0,1.0,0-2,1004,2026-07-15T03:59:04.390Z,2026-07-15T03:59:08.261Z,3871,,8b57dff6-1974-4a64-8555-bcf128861dbf,fp_8b330d02d0_prod0820_fp8_kvcache_20260402,stop,144,397,541,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"apple, mountain, idea, bicycle, cloud, music, sand, ocean, book, happiness",ok,10,apple,mountain,idea,bicycle,cloud,music,sand,ocean,book,happiness,,git:3b69735
,DeepSeek-V4-Flash,deepseek-v4-flash,deepseek-v4-flash,deepseek,https://api.deepseek.com/v1,collect_2026_n50_run2,Eastern,No,2026,1.0,1.0,0-2,1005,2026-07-15T03:59:08.262Z,2026-07-15T03:59:13.249Z,4987,,a878f77b-e402-4619-b42f-a50a526f33ba,fp_8b330d02d0_prod0820_fp8_kvcache_20260402,stop,144,436,580,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"dog, tree, rock, love, cup, rain, hand, bread, house, star",ok,10,dog,tree,rock,love,cup,rain,hand,bread,house,star,,git:3b69735
,DeepSeek-V4-Flash,deepseek-v4-flash,deepseek-v4-flash,deepseek,https://api.deepseek.com/v1,collect_2026_n50_run2,Eastern,No,2026,1.0,1.0,0-2,1006,2026-07-15T03:59:13.249Z,2026-07-15T03:59:15.474Z,2224,,cb5a7ef0-90fa-4d9d-84b6-cece620ecd45,fp_8b330d02d0_prod0820_fp8_kvcache_20260402,stop,144,149,293,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"freedom, rock, bicycle, cloud, idea, water, shadow, laughter, tree, book",ok,10,freedom,rock,bicycle,cloud,idea,water,shadow,laughter,tree,book,,git:3b69735
,DeepSeek-V4-Pro,deepseek-v4-pro,deepseek-v4-pro,deepseek,https://api.deepseek.com/v1,collect_2026_n50_run2,Eastern,Yes,2026,1.0,1.0,0-2,1001,2026-07-15T03:59:03.669Z,2026-07-15T03:59:15.911Z,12241,,a42fd437-f875-467c-bdd8-8204584b6201,fp_9954b31ca7_prod0820_fp8_kvcache_20260402,stop,144,677,821,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"time, mountain, butterfly, hammer, bread, joy, star, sand, silence, window",ok,10,time,mountain,butterfly,hammer,bread,joy,star,sand,silence,window,,git:3b69735
,DeepSeek-V4-Flash,deepseek-v4-flash,deepseek-v4-flash,deepseek,https://api.deepseek.com/v1,collect_2026_n50_run2,Eastern,No,2026,1.0,1.0,0-2,1007,2026-07-15T03:59:15.474Z,2026-07-15T03:59:18.701Z,3227,,69da2c88-7415-428b-82e1-9fe37d954795,fp_8b330d02d0_prod0820_fp8_kvcache_20260402,stop,144,289,433,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"freedom, mountain, spoon, thunder, piano, grass, river, shadow, brick, memory",ok,10,freedom,mountain,spoon,thunder,piano,grass,river,shadow,brick,memory,,git:3b69735
