record_id,model_name,api_model_requested,api_model_returned,provider,endpoint_base,batch,region,reasoning,model_year,temperature_requested,temperature_effective,temp_range_used,seed,request_timestamp_utc,response_timestamp_utc,latency_ms,api_request_id,response_id,system_fingerprint,finish_reason,prompt_tokens,completion_tokens,total_tokens,prompt_sha256,raw_response_text,parse_status,n_nouns_parsed,noun_0,noun_1,noun_2,noun_3,noun_4,noun_5,noun_6,noun_7,noun_8,noun_9,dat_score,collector_version
,GPT-4.1-mini,gpt-4.1-mini-2025-04-14,gpt-4.1-mini-2025-04-14,openai,https://api.openai.com/v1,collect_2026_n50_run2,Western,No,2025,1.0,1.0,0-2,1000,2026-07-15T03:58:52.516Z,2026-07-15T03:58:53.179Z,663,req_e52f847456e84e81a5fac50196231126,chatcmpl-E1l3kWGMDWofwA9NLrqmHhbnwtHPX,fp_eb1da0e1df,stop,145,19,164,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"apple, mountain, freedom, chair, river, happiness, book, cloud, music, flower",ok,10,apple,mountain,freedom,chair,river,happiness,book,cloud,music,flower,,git:3b69735
,GPT-4.1,gpt-4.1-2025-04-14,gpt-4.1-2025-04-14,openai,https://api.openai.com/v1,collect_2026_n50_run2,Western,No,2025,1.0,1.0,0-2,1000,2026-07-15T03:58:52.015Z,2026-07-15T03:58:53.418Z,1402,,chatcmpl-E1l3kYNidmoNTH9ecMwwNYIXkygo1,fp_a05d4a77cd,stop,145,19,164,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"apple, mountain, chair, idea, river, happiness, shirt, cloud, dog, clock",ok,10,apple,mountain,chair,idea,river,happiness,shirt,cloud,dog,clock,,git:3b69735
,GPT-4.1-mini,gpt-4.1-mini-2025-04-14,gpt-4.1-mini-2025-04-14,openai,https://api.openai.com/v1,collect_2026_n50_run2,Western,No,2025,1.0,1.0,0-2,1001,2026-07-15T03:58:53.517Z,2026-07-15T03:58:54.343Z,826,req_f74032791b5c4217a1b3b1ab2b7242ee,chatcmpl-E1l3l8TwZp8inJbfwggqt8tuVJoOR,fp_eb1da0e1df,stop,145,19,164,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"apple, music, mountain, chair, freedom, river, book, flower, light, hope",ok,10,apple,music,mountain,chair,freedom,river,book,flower,light,hope,,git:3b69735
,GPT-4.1,gpt-4.1-2025-04-14,gpt-4.1-2025-04-14,openai,https://api.openai.com/v1,collect_2026_n50_run2,Western,No,2025,1.0,1.0,0-2,1001,2026-07-15T03:58:54.017Z,2026-07-15T03:58:54.809Z,791,req_1c54ab045b884800af28556d17369e26,chatcmpl-E1l3mQqiG0AUPdtrUma3kEQcAvMUE,fp_a05d4a77cd,stop,145,19,164,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"apple, chair, mountain, dream, river, music, cloud, shoe, courage, oven",ok,10,apple,chair,mountain,dream,river,music,cloud,shoe,courage,oven,,git:3b69735
,GPT-4.1-mini,gpt-4.1-mini-2025-04-14,gpt-4.1-mini-2025-04-14,openai,https://api.openai.com/v1,collect_2026_n50_run2,Western,No,2025,1.0,1.0,0-2,1002,2026-07-15T03:58:54.517Z,2026-07-15T03:58:55.315Z,797,req_3249cabf99ce4e869af3076ede3ef674,chatcmpl-E1l3mpCwJFUT5Sl4qZtnRmLkGu8sT,fp_eb1da0e1df,stop,145,19,164,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"apple, freedom, chair, mountain, river, happiness, clock, candle, book, dog",ok,10,apple,freedom,chair,mountain,river,happiness,clock,candle,book,dog,,git:3b69735
,o4-mini,o4-mini-2025-04-16,o4-mini-2025-04-16,openai,https://api.openai.com/v1,collect_2026_n50_run2,Western,Yes,2025,1.0,1.0,0-2,1000,2026-07-15T03:58:53.016Z,2026-07-15T03:58:55.738Z,2721,req_3a3a92bc957a407f82d74011631923f9,chatcmpl-E1l3lGmfrUqTUa0ASrHa6B6DN37L4,,stop,144,359,503,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"""apple, chair, river, mountain, freedom, music, cloud, laughter, stone, wind""",ok,10,apple,chair,river,mountain,freedom,music,cloud,laughter,stone,wind,,git:3b69735
,GPT-4.1,gpt-4.1-2025-04-14,gpt-4.1-2025-04-14,openai,https://api.openai.com/v1,collect_2026_n50_run2,Western,No,2025,1.0,1.0,0-2,1002,2026-07-15T03:58:55.018Z,2026-07-15T03:58:55.813Z,795,req_d159c1bb71ef4d929f8376657c1a16f0,chatcmpl-E1l3n9Ogy9KffpccOVFmtNgfz5BNn,fp_a05d4a77cd,stop,145,19,164,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"apple, cloud, chair, mountain, fear, clock, river, candle, dream, ladder",ok,10,apple,cloud,chair,mountain,fear,clock,river,candle,dream,ladder,,git:3b69735
,GPT-4.1-mini,gpt-4.1-mini-2025-04-14,gpt-4.1-mini-2025-04-14,openai,https://api.openai.com/v1,collect_2026_n50_run2,Western,No,2025,1.0,1.0,0-2,1003,2026-07-15T03:58:55.518Z,2026-07-15T03:58:56.253Z,735,req_9bafd40379a34b16b552721105738610,chatcmpl-E1l3ncs8IhglE7PHmpqgrIR5DWPYg,fp_eb1da0e1df,stop,145,19,164,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"tree, chair, happiness, mountain, river, book, shadow, music, apple, freedom",ok,10,tree,chair,happiness,mountain,river,book,shadow,music,apple,freedom,,git:3b69735
,GPT-4.1,gpt-4.1-2025-04-14,gpt-4.1-2025-04-14,openai,https://api.openai.com/v1,collect_2026_n50_run2,Western,No,2025,1.0,1.0,0-2,1003,2026-07-15T03:58:56.519Z,2026-07-15T03:58:57.318Z,798,req_fb4d9cd0edce4894977d58a3b58e3d00,chatcmpl-E1l3owRQsMHBQ0x7vjzVHfEgrxYpQ,fp_a05d4a77cd,stop,145,19,164,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"table, dream, mountain, laughter, bottle, music, shadow, apple, river, courage",ok,10,table,dream,mountain,laughter,bottle,music,shadow,apple,river,courage,,git:3b69735
,GPT-4.1-mini,gpt-4.1-mini-2025-04-14,gpt-4.1-mini-2025-04-14,openai,https://api.openai.com/v1,collect_2026_n50_run2,Western,No,2025,1.0,1.0,0-2,1004,2026-07-15T03:58:57.020Z,2026-07-15T03:58:57.843Z,822,req_bc5d9b55c37947fc949aeb787781dc57,chatcmpl-E1l3pf6J7Ukq1SVR8bULAFPEQEdYb,fp_eb1da0e1df,stop,145,19,164,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"apple, mountain, freedom, chair, river, music, cloud, book, lamp, garden",ok,10,apple,mountain,freedom,chair,river,music,cloud,book,lamp,garden,,git:3b69735
