record_id,model_name,api_model_requested,api_model_returned,provider,endpoint_base,batch,region,reasoning,model_year,temperature_requested,temperature_effective,temp_range_used,seed,request_timestamp_utc,response_timestamp_utc,latency_ms,api_request_id,response_id,system_fingerprint,finish_reason,prompt_tokens,completion_tokens,total_tokens,prompt_sha256,raw_response_text,parse_status,n_nouns_parsed,noun_0,noun_1,noun_2,noun_3,noun_4,noun_5,noun_6,noun_7,noun_8,noun_9,dat_score,collector_version
,GPT-4.1-mini,gpt-4.1-mini-2025-04-14,gpt-4.1-mini-2025-04-14,openai,https://api.openai.com/v1,collect_2026_n200,Western,No,2025,1.0,1.0,0-2,1000,2026-07-16T00:15:58.891Z,2026-07-16T00:15:59.816Z,925,req_cc20b39ac9fa49688c59aa654575a8bc,chatcmpl-E243bUc1aXCTg81hI03AByCbXHECs,fp_d3216d7a12,stop,145,19,164,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"apple, mountain, freedom, chair, river, happiness, book, cloud, music, tree",ok,10,apple,mountain,freedom,chair,river,happiness,book,cloud,music,tree,,git:676e6de
,GPT-4.1-mini,gpt-4.1-mini-2025-04-14,gpt-4.1-mini-2025-04-14,openai,https://api.openai.com/v1,collect_2026_n200,Western,No,2025,1.0,1.0,0-2,1001,2026-07-16T00:15:59.817Z,2026-07-16T00:16:00.534Z,717,req_23a6f76e05e94afdb46b68533174f3fc,chatcmpl-E243cJMbqryYDbAkYfkjOaDRf1dIj,fp_d3216d7a12,stop,145,19,164,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"apple, music, mountain, chair, freedom, river, book, flower, light, hope",ok,10,apple,music,mountain,chair,freedom,river,book,flower,light,hope,,git:676e6de
,GPT-4.1,gpt-4.1-2025-04-14,gpt-4.1-2025-04-14,openai,https://api.openai.com/v1,collect_2026_n200,Western,No,2025,1.0,1.0,0-2,1000,2026-07-16T00:15:57.889Z,2026-07-16T00:16:01.748Z,3858,req_ac168a59cebd4dc29aa6bba54f85008c,chatcmpl-E243dJv3S0wvsoPVuHbrlbf9bvubA,fp_a05d4a77cd,stop,145,19,164,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"apple, mountain, chair, idea, river, happiness, shirt, engine, dream, clock",ok,10,apple,mountain,chair,idea,river,happiness,shirt,engine,dream,clock,,git:676e6de
,GPT-4.1-mini,gpt-4.1-mini-2025-04-14,gpt-4.1-mini-2025-04-14,openai,https://api.openai.com/v1,collect_2026_n200,Western,No,2025,1.0,1.0,0-2,1002,2026-07-16T00:16:00.535Z,2026-07-16T00:16:01.881Z,1346,req_920f366660d9462a90173dd1cb2ce2fb,chatcmpl-E243dwNULpjTvXnCu89wuD8Ryv2TU,fp_d3216d7a12,stop,145,19,164,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"apple, freedom, chair, mountain, river, happiness, clock, candle, book, dog",ok,10,apple,freedom,chair,mountain,river,happiness,clock,candle,book,dog,,git:676e6de
,o4-mini,o4-mini-2025-04-16,o4-mini-2025-04-16,openai,https://api.openai.com/v1,collect_2026_n200,Western,Yes,2025,1.0,1.0,0-2,1000,2026-07-16T00:15:58.390Z,2026-07-16T00:16:02.020Z,3630,req_d7af686d087c406b983e3a301d211702,chatcmpl-E243b1EFox1pbS9246ipHOSKF4xW9,,stop,144,293,437,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"apple, mountain, freedom, chair, river, music, cloud, stone, laughter, sunlight",ok,10,apple,mountain,freedom,chair,river,music,cloud,stone,laughter,sunlight,,git:676e6de
,GPT-4.1,gpt-4.1-2025-04-14,gpt-4.1-2025-04-14,openai,https://api.openai.com/v1,collect_2026_n200,Western,No,2025,1.0,1.0,0-2,1001,2026-07-16T00:16:01.749Z,2026-07-16T00:16:02.906Z,1157,req_b856ea9ac20543249eb357f3fd83d019,chatcmpl-E243eRc4kMHjid5wnuawxQ76jgPPq,fp_a05d4a77cd,stop,145,19,164,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"apple, chair, mountain, dream, river, music, cloud, shoe, courage, oven",ok,10,apple,chair,mountain,dream,river,music,cloud,shoe,courage,oven,,git:676e6de
,GPT-4.1-mini,gpt-4.1-mini-2025-04-14,gpt-4.1-mini-2025-04-14,openai,https://api.openai.com/v1,collect_2026_n200,Western,No,2025,1.0,1.0,0-2,1003,2026-07-16T00:16:02.249Z,2026-07-16T00:16:02.918Z,668,req_270c566c0657458da698ef6265fc1b44,chatcmpl-E243eEp5CMAVz7xFSn9EbZ1ZdmZTQ,fp_d3216d7a12,stop,145,19,164,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"apple, chair, freedom, mountain, river, music, book, friendship, car, tree",ok,10,apple,chair,freedom,mountain,river,music,book,friendship,car,tree,,git:676e6de
,GPT-4.1,gpt-4.1-2025-04-14,gpt-4.1-2025-04-14,openai,https://api.openai.com/v1,collect_2026_n200,Western,No,2025,1.0,1.0,0-2,1002,2026-07-16T00:16:03.250Z,2026-07-16T00:16:04.102Z,851,req_4e18596cb2284e6b8f67074ff118b2e5,chatcmpl-E243fwuvGPhqXSh5ljGSQt4TmZjN7,fp_a05d4a77cd,stop,145,19,164,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"apple, cloud, chair, mountain, fear, clock, river, candle, dream, ladder",ok,10,apple,cloud,chair,mountain,fear,clock,river,candle,dream,ladder,,git:676e6de
,GPT-4.1-mini,gpt-4.1-mini-2025-04-14,gpt-4.1-mini-2025-04-14,openai,https://api.openai.com/v1,collect_2026_n200,Western,No,2025,1.0,1.0,0-2,1004,2026-07-16T00:16:03.751Z,2026-07-16T00:16:04.541Z,789,req_9379eb93a0394140a89cd783a10b221c,chatcmpl-E243gajyPgoQ8WdG99HkaYjGlKhBt,fp_d3216d7a12,stop,145,19,164,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"apple, mountain, freedom, chair, river, music, cloud, book, happiness, clock",ok,10,apple,mountain,freedom,chair,river,music,cloud,book,happiness,clock,,git:676e6de
,GPT-4.1,gpt-4.1-2025-04-14,gpt-4.1-2025-04-14,openai,https://api.openai.com/v1,collect_2026_n200,Western,No,2025,1.0,1.0,0-2,1003,2026-07-16T00:16:04.251Z,2026-07-16T00:16:05.032Z,781,req_596785291a04407b882c4489c6967e13,chatcmpl-E243gzr22hI7jzrQu0jFHeHKdD2kI,fp_a05d4a77cd,stop,145,19,164,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"table, dream, mountain, laughter, bottle, music, shadow, apple, river, courage",ok,10,table,dream,mountain,laughter,bottle,music,shadow,apple,river,courage,,git:676e6de
