record_id,model_name,api_model_requested,api_model_returned,provider,endpoint_base,batch,region,reasoning,model_year,temperature_requested,temperature_effective,temp_range_used,seed,request_timestamp_utc,response_timestamp_utc,latency_ms,api_request_id,response_id,system_fingerprint,finish_reason,prompt_tokens,completion_tokens,total_tokens,prompt_sha256,raw_response_text,parse_status,n_nouns_parsed,noun_0,noun_1,noun_2,noun_3,noun_4,noun_5,noun_6,noun_7,noun_8,noun_9,dat_score,collector_version
,Claude-Haiku-4.5,claude-haiku-4-5-20251001,claude-haiku-4-5-20251001,anthropic,https://api.anthropic.com/v1,collect_2026_n200,Western,No,2025,0.5,0.5,0-1,,2026-07-16T00:15:58.389Z,2026-07-16T00:15:59.170Z,781,req_011Cd4mpGfCsE7RsjExnpW6X,msg_011Cd4mpH3mfCi7xkZabh5Vw,,end_turn,161,24,185,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"telescope, shadow, melody, courage, marble, hurricane, laughter, algorithm, feather, ocean",ok,10,telescope,shadow,melody,courage,marble,hurricane,laughter,algorithm,feather,ocean,,git:676e6de
,Claude-Sonnet-4.5,claude-sonnet-4-5-20250929,claude-sonnet-4-5-20250929,anthropic,https://api.anthropic.com/v1,collect_2026_n200,Western,No,2025,0.5,0.5,0-1,,2026-07-16T00:15:57.888Z,2026-07-16T00:15:59.464Z,1575,req_011Cd4mpEoqZxBvDt13bqZKw,msg_011Cd4mpFiAFCDEybEoLQ21r,,end_turn,161,22,183,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"cloud, hammer, justice, ocean, butterfly, mathematics, volcano, melody, furniture, sunset",ok,10,cloud,hammer,justice,ocean,butterfly,mathematics,volcano,melody,furniture,sunset,,git:676e6de
,Claude-Haiku-4.5,claude-haiku-4-5-20251001,claude-haiku-4-5-20251001,anthropic,https://api.anthropic.com/v1,collect_2026_n200,Western,No,2025,0.5,0.5,0-1,,2026-07-16T00:15:59.390Z,2026-07-16T00:16:00.141Z,751,req_011Cd4mpM86ddDexYZeewo38,msg_011Cd4mpMMErNbV67KZPYctM,,end_turn,161,23,184,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"telescope, butterfly, music, stone, dream, ocean, fire, book, shadow, laughter",ok,10,telescope,butterfly,music,stone,dream,ocean,fire,book,shadow,laughter,,git:676e6de
,Claude-Opus-4.5,claude-opus-4-5-20251101,claude-opus-4-5-20251101,anthropic,https://api.anthropic.com/v1,collect_2026_n200,Western,Yes,2025,0.5,0.5,0-1,,2026-07-16T00:15:58.889Z,2026-07-16T00:16:00.768Z,1878,req_011Cd4mpJrRDRZKnssKfxEqk,msg_011Cd4mpKAGwg1GUowrZ69S7,,end_turn,161,22,183,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"chair, freedom, ocean, sandwich, anger, cloud, childhood, hammer, music, butterfly",ok,10,chair,freedom,ocean,sandwich,anger,cloud,childhood,hammer,music,butterfly,,git:676e6de
,Claude-Haiku-4.5,claude-haiku-4-5-20251001,claude-haiku-4-5-20251001,anthropic,https://api.anthropic.com/v1,collect_2026_n200,Western,No,2025,0.5,0.5,0-1,,2026-07-16T00:16:00.391Z,2026-07-16T00:16:01.165Z,774,req_011Cd4mpRFdxnrBwekKbYgse,msg_011Cd4mpRX1tnRJiumnKXmDE,,end_turn,161,22,183,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"telescope, shadow, melody, brick, courage, ocean, flame, dream, button, gravity",ok,10,telescope,shadow,melody,brick,courage,ocean,flame,dream,button,gravity,,git:676e6de
,Claude-Sonnet-4.5,claude-sonnet-4-5-20250929,claude-sonnet-4-5-20250929,anthropic,https://api.anthropic.com/v1,collect_2026_n200,Western,No,2025,0.5,0.5,0-1,,2026-07-16T00:15:59.890Z,2026-07-16T00:16:01.212Z,1321,req_011Cd4mpP7eoatw2KhTThpGC,msg_011Cd4mpPK4C5o83eVQZnTyx,,end_turn,161,23,184,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"cloud, hammer, justice, butterfly, mountain, laughter, ocean, bread, shadow, music",ok,10,cloud,hammer,justice,butterfly,mountain,laughter,ocean,bread,shadow,music,,git:676e6de
,Claude-Haiku-4.5,claude-haiku-4-5-20251001,claude-haiku-4-5-20251001,anthropic,https://api.anthropic.com/v1,collect_2026_n200,Western,No,2025,0.5,0.5,0-1,,2026-07-16T00:16:01.391Z,2026-07-16T00:16:02.421Z,1030,req_011Cd4mpVdpDC2fqSp2jcT7W,msg_011Cd4mpWW9d6NyhEfvLpsi6,,end_turn,161,25,186,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"telescope, butterfly, democracy, sandwich, thunder, mirror, jealousy, volcano, alphabet, cushion",ok,10,telescope,butterfly,democracy,sandwich,thunder,mirror,jealousy,volcano,alphabet,cushion,,git:676e6de
,Claude-Opus-4.5,claude-opus-4-5-20251101,claude-opus-4-5-20251101,anthropic,https://api.anthropic.com/v1,collect_2026_n200,Western,Yes,2025,0.5,0.5,0-1,,2026-07-16T00:16:00.891Z,2026-07-16T00:16:02.907Z,2016,req_011Cd4mpTT6UdFzchWRfAFqE,msg_011Cd4mpThyVnqFe75u1wnHL,,end_turn,161,22,183,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"chair, freedom, ocean, sandwich, anger, cloud, childhood, hammer, music, butterfly",ok,10,chair,freedom,ocean,sandwich,anger,cloud,childhood,hammer,music,butterfly,,git:676e6de
,Claude-Haiku-4.5,claude-haiku-4-5-20251001,claude-haiku-4-5-20251001,anthropic,https://api.anthropic.com/v1,collect_2026_n200,Western,No,2025,0.5,0.5,0-1,,2026-07-16T00:16:02.422Z,2026-07-16T00:16:03.324Z,902,req_011Cd4mpZvXoPNfHeRjEXQqp,msg_011Cd4mpaUmPnsxqPi6hot6Y,,end_turn,161,23,184,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"telescope, shadow, melody, brick, courage, ocean, flame, notebook, gravity, whisper",ok,10,telescope,shadow,melody,brick,courage,ocean,flame,notebook,gravity,whisper,,git:676e6de
,Claude-Sonnet-4.5,claude-sonnet-4-5-20250929,claude-sonnet-4-5-20250929,anthropic,https://api.anthropic.com/v1,collect_2026_n200,Western,No,2025,0.5,0.5,0-1,,2026-07-16T00:16:01.892Z,2026-07-16T00:16:03.423Z,1531,req_011Cd4mpXiL1THncaGAEaWzg,msg_011Cd4mpYQzXtNdpJ9seSayQ,,end_turn,161,22,183,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"ocean, hammer, democracy, shadow, bread, melody, volcano, friendship, mirror, thunder",ok,10,ocean,hammer,democracy,shadow,bread,melody,volcano,friendship,mirror,thunder,,git:676e6de
