record_id,model_name,api_model_requested,api_model_returned,provider,endpoint_base,batch,region,reasoning,model_year,temperature_requested,temperature_effective,temp_range_used,seed,request_timestamp_utc,response_timestamp_utc,latency_ms,api_request_id,response_id,system_fingerprint,finish_reason,prompt_tokens,completion_tokens,total_tokens,prompt_sha256,raw_response_text,parse_status,n_nouns_parsed,noun_0,noun_1,noun_2,noun_3,noun_4,noun_5,noun_6,noun_7,noun_8,noun_9,dat_score,collector_version
,Hunyuan-Hy3,hy3,hy3,hunyuan,https://tokenhub.tencentmaas.com/v1,collect_2026_n100,Eastern,No,2026,1.0,1.0,0-2,,2026-07-15T08:29:06.600Z,2026-07-15T08:29:08.850Z,2249,,79d2e88c-fb19-4884-9bfd-d7dab3ddacf1,,stop,153,20,173,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"apple, mountain, freedom, clock, shoe, idea, river, dog, book, sadness",ok,10,apple,mountain,freedom,clock,shoe,idea,river,dog,book,sadness,,git:72d6a60
,Hunyuan-Hy3,hy3,hy3,hunyuan,https://tokenhub.tencentmaas.com/v1,collect_2026_n100,Eastern,No,2026,1.0,1.0,0-2,,2026-07-15T08:29:08.850Z,2026-07-15T08:29:10.833Z,1982,,d22a8914-adba-424e-b26d-00c3e6411491,,stop,153,20,173,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"apple, mountain, freedom, clock, ocean, sadness, chair, lightning, idea, book",ok,10,apple,mountain,freedom,clock,ocean,sadness,chair,lightning,idea,book,,git:72d6a60
,Hunyuan-Hy3,hy3,hy3,hunyuan,https://tokenhub.tencentmaas.com/v1,collect_2026_n100,Eastern,No,2026,1.0,1.0,0-2,,2026-07-15T08:29:10.833Z,2026-07-15T08:29:12.688Z,1854,,46b46857-c1e3-4f8a-93e4-383da4077166,,stop,153,20,173,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"apple, mountain, idea, shoe, clock, freedom, dog, book, ocean, spoon",ok,10,apple,mountain,idea,shoe,clock,freedom,dog,book,ocean,spoon,,git:72d6a60
,Hunyuan-Hy3,hy3,hy3,hunyuan,https://tokenhub.tencentmaas.com/v1,collect_2026_n100,Eastern,No,2026,1.0,1.0,0-2,,2026-07-15T08:29:12.688Z,2026-07-15T08:29:14.603Z,1914,,31712d9b-df2f-4995-a840-2a2d84f8bb03,,stop,153,20,173,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"apple, mountain, freedom, clock, dog, book, ocean, chair, happiness, cloud",ok,10,apple,mountain,freedom,clock,dog,book,ocean,chair,happiness,cloud,,git:72d6a60
,Hunyuan-Hy3,hy3,hy3,hunyuan,https://tokenhub.tencentmaas.com/v1,collect_2026_n100,Eastern,No,2026,1.0,1.0,0-2,,2026-07-15T08:29:14.603Z,2026-07-15T08:29:16.503Z,1900,,47b90596-40e0-48dd-989a-c72df7788791,,stop,153,20,173,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"cat, mountain, idea, spoon, clock, freedom, tree, book, water, happiness",ok,10,cat,mountain,idea,spoon,clock,freedom,tree,book,water,happiness,,git:72d6a60
,DeepSeek-V4-Flash-TH,deepseek-v4-flash,deepseek-v4-flash,hunyuan,https://tokenhub.tencentmaas.com/v1,collect_2026_n100,Eastern,No,2026,1.0,1.0,0-2,,2026-07-15T08:29:07.601Z,2026-07-15T08:29:17.129Z,9527,,dea1345e-d530-4897-bfb2-23ba30382207,,stop,144,574,718,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"cat, tree, rock, happiness, mountain, river, chair, song, time, color",ok,10,cat,tree,rock,happiness,mountain,river,chair,song,time,color,,git:72d6a60
,Hunyuan-Hy3,hy3,hy3,hunyuan,https://tokenhub.tencentmaas.com/v1,collect_2026_n100,Eastern,No,2026,1.0,1.0,0-2,,2026-07-15T08:29:16.504Z,2026-07-15T08:29:18.500Z,1996,,b65c8f44-b926-40f6-b831-6fb7bc6de02e,,stop,153,20,173,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"apple, mountain, freedom, clock, dog, book, ocean, chair, sadness, star",ok,10,apple,mountain,freedom,clock,dog,book,ocean,chair,sadness,star,,git:72d6a60
,Hunyuan-Hy3,hy3,hy3,hunyuan,https://tokenhub.tencentmaas.com/v1,collect_2026_n100,Eastern,No,2026,1.0,1.0,0-2,,2026-07-15T08:29:18.500Z,2026-07-15T08:29:20.220Z,1719,,e132333b-c5df-4e27-aa44-effd34ee6b75,,stop,153,20,173,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"apple, mountain, idea, spoon, clock, thunder, book, chair, freedom, river",ok,10,apple,mountain,idea,spoon,clock,thunder,book,chair,freedom,river,,git:72d6a60
,DeepSeek-V4-Flash-TH,deepseek-v4-flash,deepseek-v4-flash,hunyuan,https://tokenhub.tencentmaas.com/v1,collect_2026_n100,Eastern,No,2026,1.0,1.0,0-2,,2026-07-15T08:29:17.129Z,2026-07-15T08:29:20.375Z,3246,,b367132c-69be-43e2-9d56-fc3beb06c7fe,,stop,144,250,394,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"happiness, rock, bird, storm, apple, hammer, liberty, party, water, flower",ok,10,happiness,rock,bird,storm,apple,hammer,liberty,party,water,flower,,git:72d6a60
,Hunyuan-Hy3,hy3,hy3,hunyuan,https://tokenhub.tencentmaas.com/v1,collect_2026_n100,Eastern,No,2026,1.0,1.0,0-2,,2026-07-15T08:29:20.220Z,2026-07-15T08:29:22.036Z,1816,,1c0109b1-9381-4a82-b7b6-85c95d7f2225,,stop,153,20,173,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"apple, mountain, freedom, clock, dog, cloud, book, sadness, spoon, universe",ok,10,apple,mountain,freedom,clock,dog,cloud,book,sadness,spoon,universe,,git:72d6a60
,Hunyuan-Hy3,hy3,hy3,hunyuan,https://tokenhub.tencentmaas.com/v1,collect_2026_n100,Eastern,No,2026,1.0,1.0,0-2,,2026-07-15T08:29:25.321Z,2026-07-15T08:29:27.128Z,1807,,7e67fed8-d1b9-48fe-8e68-0eb07b282706,,stop,153,20,173,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"apple, mountain, freedom, clock, dog, river, book, anger, shoe, star",ok,10,apple,mountain,freedom,clock,dog,river,book,anger,shoe,star,,git:72d6a60
,Hunyuan-Hy3,hy3,hy3,hunyuan,https://tokenhub.tencentmaas.com/v1,collect_2026_n100,Eastern,No,2026,1.0,1.0,0-2,,2026-07-15T08:29:27.128Z,2026-07-15T08:29:28.983Z,1854,,fbe4ce55-793c-4de4-b0ee-6a05e8d92bee,,stop,153,20,173,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"apple, mountain, freedom, clock, elephant, dream, spoon, ocean, melody, shoe",ok,10,apple,mountain,freedom,clock,elephant,dream,spoon,ocean,melody,shoe,,git:72d6a60
,DeepSeek-V4-Flash-TH,deepseek-v4-flash,deepseek-v4-flash,hunyuan,https://tokenhub.tencentmaas.com/v1,collect_2026_n100,Eastern,No,2026,1.0,1.0,0-2,,2026-07-15T08:29:20.721Z,2026-07-15T08:29:29.309Z,8588,,ee755b60-db77-424b-9a5c-737e7aef84ad,,stop,144,377,521,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"mountain, laughter, pencil, elephant, soup, thunder, dream, clock, sand, freedom",ok,10,mountain,laughter,pencil,elephant,soup,thunder,dream,clock,sand,freedom,,git:72d6a60
,Hunyuan-Hy3,hy3,hy3,hunyuan,https://tokenhub.tencentmaas.com/v1,collect_2026_n100,Eastern,No,2026,1.0,1.0,0-2,,2026-07-15T08:29:28.983Z,2026-07-15T08:29:31.244Z,2261,,715ae5a6-5bfe-4e1f-a37c-ff4263e06408,,stop,153,20,173,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"apple, mountain, freedom, clock, elephant, dream, book, spoon, storm, friendship",ok,10,apple,mountain,freedom,clock,elephant,dream,book,spoon,storm,friendship,,git:72d6a60
