record_id,model_name,api_model_requested,api_model_returned,provider,endpoint_base,batch,region,reasoning,model_year,temperature_requested,temperature_effective,temp_range_used,seed,request_timestamp_utc,response_timestamp_utc,latency_ms,api_request_id,response_id,system_fingerprint,finish_reason,prompt_tokens,completion_tokens,total_tokens,prompt_sha256,raw_response_text,parse_status,n_nouns_parsed,noun_0,noun_1,noun_2,noun_3,noun_4,noun_5,noun_6,noun_7,noun_8,noun_9,dat_score,collector_version
,Moonshot-v1-8k,moonshot-v1-8k,moonshot-v1-8k,moonshot,https://api.moonshot.ai/v1,collect_2026_n50,Eastern,No,2024,0.5,0.5,0-1,,2026-07-15T02:14:19.478Z,2026-07-15T02:14:21.119Z,1641,,chatcmpl-6a56ecfb362d719c68dac206,,stop,146,20,166,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"apple, ocean, laughter, mountain, friendship, bicycle, cloud, freedom, silence, rainbow",ok,10,apple,ocean,laughter,mountain,friendship,bicycle,cloud,freedom,silence,rainbow,,git:34c7dab
,Moonshot-v1-8k,moonshot-v1-8k,moonshot-v1-8k,moonshot,https://api.moonshot.ai/v1,collect_2026_n50,Eastern,No,2024,0.5,0.5,0-1,,2026-07-15T02:14:21.120Z,2026-07-15T02:14:22.490Z,1370,,chatcmpl-6a56ecfde3dfb6e37e94ace8,,stop,146,21,167,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"mountain, rainbow, book, love, apple, ocean, cloud, bicycle, dance, laughter",ok,10,mountain,rainbow,book,love,apple,ocean,cloud,bicycle,dance,laughter,,git:34c7dab
,Moonshot-v1-8k,moonshot-v1-8k,moonshot-v1-8k,moonshot,https://api.moonshot.ai/v1,collect_2026_n50,Eastern,No,2024,0.5,0.5,0-1,,2026-07-15T02:14:22.490Z,2026-07-15T02:14:23.966Z,1475,,chatcmpl-6a56ecfee3dfb6e37e94acfd,,stop,146,20,166,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"tree, ocean, love, bicycle, rainbow, book, cloud, music, laughter, mountain",ok,10,tree,ocean,love,bicycle,rainbow,book,cloud,music,laughter,mountain,,git:34c7dab
,Moonshot-v1-8k,moonshot-v1-8k,moonshot-v1-8k,moonshot,https://api.moonshot.ai/v1,collect_2026_n50,Eastern,No,2024,0.5,0.5,0-1,,2026-07-15T02:14:23.966Z,2026-07-15T02:14:25.019Z,1052,,chatcmpl-6a56ed00362d719c68dac224,,stop,146,20,166,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"apple, ocean, love, bicycle, rainbow, mountain, laughter, clock, dream, galaxy",ok,10,apple,ocean,love,bicycle,rainbow,mountain,laughter,clock,dream,galaxy,,git:34c7dab
,Moonshot-v1-8k,moonshot-v1-8k,moonshot-v1-8k,moonshot,https://api.moonshot.ai/v1,collect_2026_n50,Eastern,No,2024,0.5,0.5,0-1,,2026-07-15T02:14:25.020Z,2026-07-15T02:14:26.130Z,1110,,chatcmpl-6a56ed01362d719c68dac232,,stop,146,20,166,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"sun, river, book, love, mountain, laughter, cloud, tree, peace, friendship",ok,10,sun,river,book,love,mountain,laughter,cloud,tree,peace,friendship,,git:34c7dab
,Moonshot-v1-8k,moonshot-v1-8k,moonshot-v1-8k,moonshot,https://api.moonshot.ai/v1,collect_2026_n50,Eastern,No,2024,0.5,0.5,0-1,,2026-07-15T02:14:26.132Z,2026-07-15T02:14:27.469Z,1337,,chatcmpl-6a56ed02362d719c68dac239,,stop,146,20,166,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"tree, ocean, car, love, book, mountain, cloud, laughter, rainbow, clock",ok,10,tree,ocean,car,love,book,mountain,cloud,laughter,rainbow,clock,,git:34c7dab
,Moonshot-v1-8k,moonshot-v1-8k,moonshot-v1-8k,moonshot,https://api.moonshot.ai/v1,collect_2026_n50,Eastern,No,2024,0.5,0.5,0-1,,2026-07-15T02:14:27.470Z,2026-07-15T02:14:28.714Z,1244,,chatcmpl-6a56ed03362d719c68dac247,,stop,146,20,166,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"sun, river, laughter, chair, hope, spoon, cloud, book, freedom, apple",ok,10,sun,river,laughter,chair,hope,spoon,cloud,book,freedom,apple,,git:34c7dab
,Moonshot-v1-8k,moonshot-v1-8k,moonshot-v1-8k,moonshot,https://api.moonshot.ai/v1,collect_2026_n50,Eastern,No,2024,0.5,0.5,0-1,,2026-07-15T02:14:28.714Z,2026-07-15T02:14:29.715Z,1000,,chatcmpl-6a56ed05362d719c68dac252,,stop,146,20,166,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"apple, ocean, love, mountain, laughter, rainbow, computer, freedom, friendship, bicycle",ok,10,apple,ocean,love,mountain,laughter,rainbow,computer,freedom,friendship,bicycle,,git:34c7dab
,Moonshot-v1-8k,moonshot-v1-8k,moonshot-v1-8k,moonshot,https://api.moonshot.ai/v1,collect_2026_n50,Eastern,No,2024,0.5,0.5,0-1,,2026-07-15T02:14:29.715Z,2026-07-15T02:14:30.688Z,972,,chatcmpl-6a56ed06c1e711f9837d4203,,stop,146,20,166,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"apple, ocean, bicycle, love, book, cloud, mountain, friendship, laughter, rainbow",ok,10,apple,ocean,bicycle,love,book,cloud,mountain,friendship,laughter,rainbow,,git:34c7dab
,Moonshot-v1-8k,moonshot-v1-8k,moonshot-v1-8k,moonshot,https://api.moonshot.ai/v1,collect_2026_n50,Eastern,No,2024,0.5,0.5,0-1,,2026-07-15T02:14:30.688Z,2026-07-15T02:14:31.691Z,1002,,chatcmpl-6a56ed07c1e711f9837d4206,,stop,146,20,166,d03218e72a815ec8b138d1c5cd9237449ab59b1f0f1ae1aacd0d21c33ccffbc2,"book, ocean, cloud, bicycle, laughter, apple, mountain, friendship, clock, rainbow",ok,10,book,ocean,cloud,bicycle,laughter,apple,mountain,friendship,clock,rainbow,,git:34c7dab
